fixture_id	profile	exact_release	feature_introduction	official_url	retrieval_date	pinned_source_revision	page_heading	code_fence	category	support_status	parse_mode	classification	provenance_status
4.x-boundary-set-two	4.x	4.x	2.1 baseline SELECT; DML/DDL released; 4.x released SELECT	https://doris.apache.org/docs/4.x/sql-manual/sql-statements/data-query/SELECT/	2026-08-03	unavailable-offline	SELECT	grammar:sql	core-04-boundary-two-set	supported	strict	parse-only	known-gap: GitHub revision lookup returned an empty API result
4.x-recovery	4.x	4.x	2.1 baseline SELECT; DML/DDL released; 4.x released SELECT	https://doris.apache.org/docs/4.x/sql-manual/sql-statements/data-query/SELECT/	2026-08-03	unavailable-offline	SELECT	grammar:sql	malformed-recovery	expected-error	editor	expected-error	known-gap: GitHub revision lookup returned an empty API result
4.x-invalid-encoding	4.x	4.x	2.1 baseline SELECT; DML/DDL released; 4.x released SELECT	https://doris.apache.org/docs/4.x/sql-manual/sql-statements/data-query/SELECT/	2026-08-03	unavailable-offline	SELECT	grammar:sql	invalid-encoding	expected-error	editor	expected-error	known-gap: bytes are inline because TSV is UTF-8 text
2.1-insert-values	2.1	2.1	2.1 baseline SELECT; DML/DDL released	https://doris.apache.org/docs/2.1/sql-manual/sql-statements/data-modification/DML/INSERT/	2026-08-04	unavailable-offline	INSERT	grammar:sql	dml-insert-values	supported	strict	parse-only	known-gap: GitHub revision lookup returned an empty API result
3.x-insert-values	3.x	3.x	2.1 baseline SELECT; DML/DDL released; 3.x window and QUALIFY	https://doris.apache.org/docs/3.x/sql-manual/sql-statements/data-modification/DML/INSERT/	2026-08-04	unavailable-offline	INSERT	grammar:sql	dml-insert-values	supported	strict	parse-only	known-gap: GitHub revision lookup returned an empty API result
4.x-insert-values	4.x	4.x	2.1 baseline SELECT; DML/DDL released; 4.x released SELECT	https://doris.apache.org/docs/4.x/sql-manual/sql-statements/data-modification/DML/INSERT/	2026-08-04	unavailable-offline	INSERT	grammar:sql	dml-insert-values	supported	strict	parse-only	known-gap: GitHub revision lookup returned an empty API result
2.1-insert-select	2.1	2.1	2.1 baseline SELECT; DML/DDL released	https://doris.apache.org/docs/2.1/sql-manual/sql-statements/data-modification/DML/INSERT/	2026-08-04	unavailable-offline	INSERT	grammar:sql	dml-insert-select	supported	strict	parse-only	known-gap: GitHub revision lookup returned an empty API result
3.x-insert-select	3.x	3.x	2.1 baseline SELECT; DML/DDL released; 3.x window and QUALIFY	https://doris.apache.org/docs/3.x/sql-manual/sql-statements/data-modification/DML/INSERT/	2026-08-04	unavailable-offline	INSERT	grammar:sql	dml-insert-select	supported	strict	parse-only	known-gap: GitHub revision lookup returned an empty API result
4.x-insert-select	4.x	4.x	2.1 baseline SELECT; DML/DDL released; 4.x released SELECT	https://doris.apache.org/docs/4.x/sql-manual/sql-statements/data-modification/DML/INSERT/	2026-08-04	unavailable-offline	INSERT	grammar:sql	dml-insert-select	supported	strict	parse-only	known-gap: GitHub revision lookup returned an empty API result
2.1-update	2.1	2.1	2.1 baseline SELECT; DML/DDL released	https://doris.apache.org/docs/2.1/sql-manual/sql-statements/data-modification/DML/UPDATE/	2026-08-04	unavailable-offline	UPDATE	grammar:sql	dml-update	supported	strict	parse-only	known-gap: GitHub revision lookup returned an empty API result
3.x-update	3.x	3.x	2.1 baseline SELECT; DML/DDL released; 3.x window and QUALIFY	https://doris.apache.org/docs/3.x/sql-manual/sql-statements/data-modification/DML/UPDATE/	2026-08-04	unavailable-offline	UPDATE	grammar:sql	dml-update	supported	strict	parse-only	known-gap: GitHub revision lookup returned an empty API result
4.x-update	4.x	4.x	2.1 baseline SELECT; DML/DDL released; 4.x released SELECT	https://doris.apache.org/docs/4.x/sql-manual/sql-statements/data-modification/DML/UPDATE/	2026-08-04	unavailable-offline	UPDATE	grammar:sql	dml-update	supported	strict	parse-only	known-gap: GitHub revision lookup returned an empty API result
2.1-delete	2.1	2.1	2.1 baseline SELECT; DML/DDL released	https://doris.apache.org/docs/2.1/sql-manual/sql-statements/data-modification/DML/DELETE/	2026-08-04	unavailable-offline	DELETE	grammar:sql	dml-delete	supported	strict	parse-only	known-gap: GitHub revision lookup returned an empty API result
3.x-delete	3.x	3.x	2.1 baseline SELECT; DML/DDL released; 3.x window and QUALIFY	https://doris.apache.org/docs/3.x/sql-manual/sql-statements/data-modification/DML/DELETE/	2026-08-04	unavailable-offline	DELETE	grammar:sql	dml-delete	supported	strict	parse-only	known-gap: GitHub revision lookup returned an empty API result
4.x-delete	4.x	4.x	2.1 baseline SELECT; DML/DDL released; 4.x released SELECT	https://doris.apache.org/docs/4.x/sql-manual/sql-statements/data-modification/DML/DELETE/	2026-08-04	unavailable-offline	DELETE	grammar:sql	dml-delete	supported	strict	parse-only	known-gap: GitHub revision lookup returned an empty API result
2.1-create-table	2.1	2.1	2.1 baseline SELECT; DML/DDL released	https://doris.apache.org/docs/2.1/sql-manual/sql-statements/table-and-view/table/CREATE-TABLE/	2026-08-04	unavailable-offline	CREATE TABLE	grammar:sql	ddl-create-table	supported	strict	parse-only	known-gap: GitHub revision lookup returned an empty API result
3.x-create-table	3.x	3.x	2.1 baseline SELECT; DML/DDL released; 3.x window and QUALIFY	https://doris.apache.org/docs/3.x/sql-manual/sql-statements/table-and-view/table/CREATE-TABLE/	2026-08-04	unavailable-offline	CREATE TABLE	grammar:sql	ddl-create-table	supported	strict	parse-only	known-gap: GitHub revision lookup returned an empty API result
4.x-create-table	4.x	4.x	2.1 baseline SELECT; DML/DDL released; 4.x released SELECT	https://doris.apache.org/docs/4.x/sql-manual/sql-statements/table-and-view/table/CREATE-TABLE/	2026-08-04	unavailable-offline	CREATE TABLE	grammar:sql	ddl-create-table	supported	strict	parse-only	known-gap: GitHub revision lookup returned an empty API result
2.1-create-view	2.1	2.1	2.1 baseline SELECT; DML/DDL released	https://doris.apache.org/docs/2.1/sql-manual/sql-statements/table-and-view/view/CREATE-VIEW/	2026-08-04	unavailable-offline	CREATE VIEW	grammar:sql	ddl-create-view	supported	strict	parse-only	known-gap: GitHub revision lookup returned an empty API result
3.x-create-view	3.x	3.x	2.1 baseline SELECT; DML/DDL released; 3.x window and QUALIFY	https://doris.apache.org/docs/3.x/sql-manual/sql-statements/table-and-view/view/CREATE-VIEW/	2026-08-04	unavailable-offline	CREATE VIEW	grammar:sql	ddl-create-view	supported	strict	parse-only	known-gap: GitHub revision lookup returned an empty API result
4.x-create-view	4.x	4.x	2.1 baseline SELECT; DML/DDL released; 4.x released SELECT	https://doris.apache.org/docs/4.x/sql-manual/sql-statements/table-and-view/view/CREATE-VIEW/	2026-08-04	unavailable-offline	CREATE VIEW	grammar:sql	ddl-create-view	supported	strict	parse-only	known-gap: GitHub revision lookup returned an empty API result
2.1-create-index	2.1	2.1	2.1 baseline SELECT; DML/DDL released	https://doris.apache.org/docs/2.1/sql-manual/sql-statements/table-and-view/index/CREATE-INDEX/	2026-08-04	unavailable-offline	CREATE INDEX	grammar:sql	ddl-create-index	supported	strict	parse-only	known-gap: GitHub revision lookup returned an empty API result
3.x-create-index	3.x	3.x	2.1 baseline SELECT; DML/DDL released; 3.x window and QUALIFY	https://doris.apache.org/docs/3.x/sql-manual/sql-statements/table-and-view/index/CREATE-INDEX/	2026-08-04	unavailable-offline	CREATE INDEX	grammar:sql	ddl-create-index	supported	strict	parse-only	known-gap: GitHub revision lookup returned an empty API result
4.x-create-index	4.x	4.x	2.1 baseline SELECT; DML/DDL released; 4.x released SELECT	https://doris.apache.org/docs/4.x/sql-manual/sql-statements/table-and-view/index/CREATE-INDEX/	2026-08-04	unavailable-offline	CREATE INDEX	grammar:sql	ddl-create-index	supported	strict	parse-only	known-gap: GitHub revision lookup returned an empty API result
4.x-insert-overwrite	4.x	4.x	2.1 baseline SELECT; DML/DDL released; 4.x released SELECT	https://doris.apache.org/docs/4.x/sql-manual/sql-statements/data-modification/DML/INSERT-OVERWRITE/	2026-08-04	unavailable-offline	INSERT OVERWRITE	grammar:sql	dml-insert-overwrite	supported	strict	parse-only	known-gap: GitHub revision lookup returned an empty API result
2.1-merge	2.1	2.1	2.1 baseline SELECT; DML/DDL released	https://doris.apache.org/docs/4.x/sql-manual/sql-statements/data-modification/DML/MERGE-INTO/	2026-08-04	unavailable-offline	MERGE INTO	grammar:sql	dml-merge	expected-error	strict	expected-error	known-gap: MERGE INTO is documented only in the 4.x docs tree; 2.1/3.x emit DORIS-PARSE-006 per released-docs authority
3.x-merge	3.x	3.x	2.1 baseline SELECT; DML/DDL released; 3.x window and QUALIFY	https://doris.apache.org/docs/4.x/sql-manual/sql-statements/data-modification/DML/MERGE-INTO/	2026-08-04	unavailable-offline	MERGE INTO	grammar:sql	dml-merge	expected-error	strict	expected-error	known-gap: MERGE INTO is documented only in the 4.x docs tree; 2.1/3.x emit DORIS-PARSE-006 per released-docs authority
4.x-merge	4.x	4.x	2.1 baseline SELECT; DML/DDL released; 4.x released SELECT	https://doris.apache.org/docs/4.x/sql-manual/sql-statements/data-modification/DML/MERGE-INTO/	2026-08-04	unavailable-offline	MERGE INTO	grammar:sql	dml-merge	supported	strict	parse-only	known-gap: GitHub revision lookup returned an empty API result
4.x-create-table-ctas	4.x	4.x	2.1 baseline SELECT; DML/DDL released; 4.x released SELECT	https://doris.apache.org/docs/4.x/sql-manual/sql-statements/table-and-view/table/CREATE-TABLE/	2026-08-04	unavailable-offline	CREATE TABLE	grammar:sql	ddl-create-table-ctas	supported	strict	parse-only	known-gap: GitHub revision lookup returned an empty API result
4.x-create-table-like	4.x	4.x	2.1 baseline SELECT; DML/DDL released; 4.x released SELECT	https://doris.apache.org/docs/4.x/sql-manual/sql-statements/table-and-view/table/CREATE-TABLE/	2026-08-04	unavailable-offline	CREATE TABLE	grammar:sql	ddl-create-table-like	supported	strict	parse-only	known-gap: GitHub revision lookup returned an empty API result
