fixture_id	public_contract	fe_nereids_observation	sqlglot_observation	sqlglot_version	resolution	advisory_only
4.x-invalid-encoding	released-docs	not-run-offline	not-run-offline	30.14.0	fixture SQL is embedded in MoonBit test code, not a corpus SQL file; differential skipped for this row; public support is determined only by the released-docs manifest (D-07)	true
2.1-insert-values	released-docs	not-run-offline	accepted	30.14.0	released docs 2.1 document dml-insert-values; sqlglot 30.14.0 accepts the fixture; SDK supports it per the released-docs manifest; agreement	true
3.x-insert-values	released-docs	not-run-offline	accepted	30.14.0	released docs 3.x document dml-insert-values; sqlglot 30.14.0 accepts the fixture; SDK supports it per the released-docs manifest; agreement	true
4.x-insert-values	released-docs	not-run-offline	accepted	30.14.0	released docs 4.x document dml-insert-values; sqlglot 30.14.0 accepts the fixture; SDK supports it per the released-docs manifest; agreement	true
2.1-insert-select	released-docs	not-run-offline	rejected	30.14.0	released docs 2.1 document dml-insert-select; sqlglot 30.14.0 rejects the fixture; SDK follows the released-docs authority; disagreement recorded, advisory only; ParseError: Expecting (. Line 7, Col: 54. test2; INSERT INTO test (c1, c2) SELECT * FROM test2; INSERT INTO test PARTITION(p1, p2) W	true
3.x-insert-select	released-docs	not-run-offline	rejected	30.14.0	released docs 3.x document dml-insert-select; sqlglot 30.14.0 rejects the fixture; SDK follows the released-docs authority; disagreement recorded, advisory only; ParseError: Expecting (. Line 7, Col: 54. test2; INSERT INTO test (c1, c2) SELECT * FROM test2; INSERT INTO test PARTITION(p1, p2) W	true
4.x-insert-select	released-docs	not-run-offline	rejected	30.14.0	released docs 4.x document dml-insert-select; sqlglot 30.14.0 rejects the fixture; SDK follows the released-docs authority; disagreement recorded, advisory only; ParseError: Expecting (. Line 7, Col: 54. test2; INSERT INTO test (c1, c2) SELECT * FROM test2; INSERT INTO test PARTITION(p1, p2) W	true
2.1-update	released-docs	not-run-offline	accepted	30.14.0	released docs 2.1 document dml-update; sqlglot 30.14.0 accepts the fixture; SDK supports it per the released-docs manifest; agreement	true
3.x-update	released-docs	not-run-offline	accepted	30.14.0	released docs 3.x document dml-update; sqlglot 30.14.0 accepts the fixture; SDK supports it per the released-docs manifest; agreement	true
4.x-update	released-docs	not-run-offline	accepted	30.14.0	released docs 4.x document dml-update; sqlglot 30.14.0 accepts the fixture; SDK supports it per the released-docs manifest; agreement	true
2.1-delete	released-docs	not-run-offline	accepted	30.14.0	released docs 2.1 document dml-delete; sqlglot 30.14.0 accepts the fixture; SDK supports it per the released-docs manifest; agreement	true
3.x-delete	released-docs	not-run-offline	accepted	30.14.0	released docs 3.x document dml-delete; sqlglot 30.14.0 accepts the fixture; SDK supports it per the released-docs manifest; agreement	true
4.x-delete	released-docs	not-run-offline	rejected	30.14.0	released docs 4.x document dml-delete; sqlglot 30.14.0 rejects the fixture; SDK follows the released-docs authority; disagreement recorded, advisory only; ParseError: Expecting (. Line 6, Col: 26. etrieved: 2026-08-04 -- Code fence: grammar:sql DELETE FROM t WHERE id = 1; DELETE FROM t	true
2.1-create-table	released-docs	not-run-offline	rejected	30.14.0	released docs 2.1 document ddl-create-table; sqlglot 30.14.0 rejects the fixture; SDK follows the released-docs authority; disagreement recorded, advisory only; ParseError: Expecting ). Line 7, Col: 124. table (k1 TINYINT, k2 DECIMAL(10, 2) DEFAULT '10.5', k3 CHAR(10) COMMENT 'string column',	true
3.x-create-table	released-docs	not-run-offline	rejected	30.14.0	released docs 3.x document ddl-create-table; sqlglot 30.14.0 rejects the fixture; SDK follows the released-docs authority; disagreement recorded, advisory only; ParseError: Expecting ). Line 7, Col: 124. table (k1 TINYINT, k2 DECIMAL(10, 2) DEFAULT '10.5', k3 CHAR(10) COMMENT 'string column',	true
4.x-create-table	released-docs	not-run-offline	rejected	30.14.0	released docs 4.x document ddl-create-table; sqlglot 30.14.0 rejects the fixture; SDK follows the released-docs authority; disagreement recorded, advisory only; ParseError: Expecting ). Line 7, Col: 174. ', k3 CHAR(10) COMMENT 'string column', k4 INT NOT NULL DEFAULT '1' COMMENT 'int column',	true
2.1-create-view	released-docs	not-run-offline	accepted	30.14.0	released docs 2.1 document ddl-create-view; sqlglot 30.14.0 accepts the fixture; SDK supports it per the released-docs manifest; agreement	true
3.x-create-view	released-docs	not-run-offline	accepted	30.14.0	released docs 3.x document ddl-create-view; sqlglot 30.14.0 accepts the fixture; SDK supports it per the released-docs manifest; agreement	true
4.x-create-view	released-docs	not-run-offline	accepted	30.14.0	released docs 4.x document ddl-create-view; sqlglot 30.14.0 accepts the fixture; SDK supports it per the released-docs manifest; agreement	true
2.1-create-index	released-docs	not-run-offline	accepted	30.14.0	released docs 2.1 document ddl-create-index; sqlglot 30.14.0 accepts the fixture; SDK supports it per the released-docs manifest; agreement; accepted via generic Command fallback (unsupported-syntax warning)	true
3.x-create-index	released-docs	not-run-offline	accepted	30.14.0	released docs 3.x document ddl-create-index; sqlglot 30.14.0 accepts the fixture; SDK supports it per the released-docs manifest; agreement; accepted via generic Command fallback (unsupported-syntax warning)	true
4.x-create-index	released-docs	not-run-offline	accepted	30.14.0	released docs 4.x document ddl-create-index; sqlglot 30.14.0 accepts the fixture; SDK supports it per the released-docs manifest; agreement; accepted via generic Command fallback (unsupported-syntax warning)	true
4.x-insert-overwrite	released-docs	not-run-offline	accepted	30.14.0	released docs 4.x document dml-insert-overwrite; sqlglot 30.14.0 accepts the fixture; SDK supports it per the released-docs manifest; agreement	true
2.1-merge	released-docs	not-run-offline	not-run-offline	30.14.0	fixture SQL is embedded in MoonBit test code, not a corpus SQL file; differential skipped for this row; public support is determined only by the released-docs manifest (D-07)	true
3.x-merge	released-docs	not-run-offline	not-run-offline	30.14.0	fixture SQL is embedded in MoonBit test code, not a corpus SQL file; differential skipped for this row; public support is determined only by the released-docs manifest (D-07)	true
4.x-merge	released-docs	not-run-offline	rejected	30.14.0	released docs 4.x document dml-merge; sqlglot 30.14.0 rejects the fixture; SDK follows the released-docs authority; disagreement recorded, advisory only; ParseError: Invalid expression / Unexpected token. Line 8, Col: 78. N MATCHED THEN DELETE; MERGE INTO t USING s ON t.id = s.id WHEN	true
4.x-create-table-ctas	released-docs	not-run-offline	accepted	30.14.0	released docs 4.x document ddl-create-table-ctas; sqlglot 30.14.0 accepts the fixture; SDK supports it per the released-docs manifest; agreement	true
4.x-create-table-like	released-docs	not-run-offline	accepted	30.14.0	released docs 4.x document ddl-create-table-like; sqlglot 30.14.0 accepts the fixture; SDK supports it per the released-docs manifest; agreement; accepted via generic Command fallback (unsupported-syntax warning)	true
4.x-create-materialized-view	released-docs	not-run-offline	accepted	30.14.0	released docs 4.x document ddl-create-materialized-view; sqlglot 30.14.0 accepts the fixture; SDK supports it per the released-docs manifest; agreement	true
4.x-script-multi-statement	released-docs	not-run-offline	accepted	30.14.0	released docs 4.x document script-multi-statement; sqlglot 30.14.0 accepts the fixture; SDK supports it per the released-docs manifest; agreement	true
4.x-malformed-recovery	released-docs	not-run-offline	rejected	30.14.0	released docs 4.x mark malformed-recovery expected-error; sqlglot 30.14.0 also rejects; agreement, advisory only; ParseError: Required keyword: 'this' missing for <class 'sqlglot.expressions.query.Where'>. Line 7, Col: 24. ata-modification/DML/UP	true
